hsc_p,salary
91,270000
78.33,200000
68,250000
52,
73.6,425000
49.8,
49.2,
64,252000
79,231000
70,
61,260000
68.4,250000
55,
87,218000
47,
75,200000
66.2,300000
67,
66,
67,236000
65,265000
76,393000
60.8,360000
60,300000
97.7,360000
54.6,
79,240000
67,265000
76.5,350000
67,
73.5,250000
53,
81,278000
65,260000
51,
78,300000
44,
76,320000
58,240000
68,411000
77,287000
63.16,
39,
87,300000
73,200000
64,
71.98,
60,204000
62,250000
37,
73.2,200000
61.12,
45.83,
70,450000
60,216000
66.6,220000
71.4,240000
76,360000
62,268000
65.58,265000
70,260000
73.4,300000
64.2,240000
70,
73,240000
47,
74,275000
78.5,275000
47,
73,275000
61,360000
70.29,240000
67,240000
83.83,218000
64.8,336000
62,
70.4,230000
80,500000
90.9,270000
62,
62,240000
63,300000
67,
79,300000
63,300000
89.83,400000
63,220000
51,
62,210000
75,210000
90,300000
57,
69,230000
62,
62,260000
78,420000
70,300000
62.5,
73,220000
82,
57,
72,380000
61,300000
78,240000
63,360000
64,
50,
90,200000
82,300000
63,
70,250000
54,
61,250000
79,280000
68,250000
63,216000
72.8,300000
75,240000
80,276000
68.4,940000
40,
67,250000
66.8,236000
59,240000
71,250000
73,350000
61,210000
60,250000
73.4,400000
89.7,250000
65,
57,360000
68,300000
64,250000
92,250000
56,200000
59,
63,225000
64,250000
70,220000
64.8,265000
64,
60,260000
64.89,300000
50,
65.66,400000
63,233000
74,300000
86,240000
58,
58.66,690000
65,270000
60.5,240000
59,340000
63,250000
74.66,
69.4,255000
62.5,300000
63,
49,
74,300000
51,
87.6,285000
67,500000
72.5,250000
78.33,
62,240000
62,
51,
42.16,
67.2,
80,290000
58,300000
52,
50.83,500000
62,
60,220000
97,650000
56,350000
64,
71.5,265000
60.33,
65,
77,276000
62.83,
72,252000
64,
65.5,280000
47,
77.6,
70.2,
61,264000
61.4,270000
63,300000
55,
76,275000
63,250000
53,260000
70,
65,265000
60,300000
63,
63,240000
61.33,260000
73,210000
62,250000
42,
78,300000
60,
72,216000
82,400000
60,275000
67,295000
66,204000
58,869027
150,10000000
160,20000000
800,100
900,30000000
990,40000000
-900,4000300
-990,52100000
-801,61000000
